OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
244836,5,5,15,0,2019,7,12,2,3,0,5,0,1,1,0,0,0,0,0,"403719,295576447620000","5754025,079226540400000","7,599717398000053","51,928616492000060"
245041,5,5,15,0,2019,7,13,7,3,0,3,0,1,1,0,0,0,0,1,"405878,526598888450000","5758306,812089465600000","7,629938482000057","51,967472005000047"
245159,5,5,15,0,2019,7,15,6,3,5,3,0,1,1,0,0,0,0,0,"405444,825299611320000","5751946,332257418000000","7,625376072000051","51,910227486000053"
245160,5,5,15,0,2019,7,10,6,3,5,3,0,1,1,0,0,0,0,0,"404756,597417989750000","5757293,033084390700000","7,613893610000048","51,958168669000031"
245318,5,5,15,0,2019,7,17,4,3,0,7,0,1,0,0,0,0,0,0,"407149,027829661970000","5756589,671384027200000","7,648890859000062","51,952251135000040"
245319,5,5,15,0,2019,7,15,4,3,5,3,0,1,0,0,0,0,0,0,"405264,510912179950000","5757071,073187757300000","7,621344318000070","51,956260368000073"
245432,5,5,15,0,2019,7,19,4,2,5,3,0,1,1,0,0,0,0,1,"407710,703044376340000","5761136,965901674700000","7,655838904000063","51,993218099000046"
245439,5,5,15,0,2019,7,16,4,2,5,7,0,1,1,0,0,0,1,0,"406492,504428798330000","5757364,209548480800000","7,639129649000040","51,959103069000037"
245504,5,5,15,0,2019,7,15,3,3,5,3,0,1,1,0,0,0,0,0,"407019,617000001480000","5757996,375000001900000","7,646627572000057","51,964873688000068"
245505,5,5,15,0,2019,7,23,3,3,0,6,2,1,0,1,0,0,0,0,"406147,631000000050000","5757030,432000000000000","7,634203223000043","51,956044816000031"
245506,5,5,15,0,2019,7,14,3,3,0,7,0,1,0,0,0,0,0,0,"404756,987201104870000","5757292,445348117500000","7,613899444000026","51,958163453000054"
245507,5,5,15,0,2019,7,14,3,3,0,1,0,1,1,0,0,0,0,0,"405253,685567147100000","5757277,629029903600000","7,621129864000068","51,958115134000082"
245559,5,5,15,0,2019,7,16,2,3,1,6,0,1,1,0,0,0,0,0,"405156,011317422610000","5757192,517854308700000","7,619732326000076","51,957333468000058"
245560,5,5,15,0,2019,7,20,2,3,0,1,0,1,0,0,0,0,0,0,"405885,088998821560000","5758355,051898812900000","7,630020753000053","51,967906717000062"
245561,5,5,15,0,2019,7,16,2,3,5,2,0,1,1,0,0,0,0,0,"402881,614646640610000","5756350,323235625400000","7,586881736000066","51,949370998000063"
245734,5,5,15,0,2019,8,22,7,3,3,1,2,1,0,0,0,0,0,0,"404926,238563684750000","5759823,143654320400000","7,615660989000048","51,980939296000031"
245735,5,5,15,0,2019,8,17,7,3,3,6,0,1,0,0,0,0,0,0,"407787,617592901920000","5751419,797229418500000","7,659565838000049","51,905887440000072"
245736,5,5,15,0,2019,8,19,7,3,2,1,0,1,0,0,0,0,0,0,"404582,820356111040000","5758834,632248770400000","7,610937025000055","51,971995337000067"
245794,5,5,15,0,2019,8,15,6,3,7,5,0,1,1,0,0,0,0,0,"405204,060633923860000","5753534,672993194300000","7,621439722000048","51,924463333000062"
245866,5,5,15,0,2019,8,16,5,3,6,4,0,1,0,1,0,0,0,0,"405622,955427633600000","5757094,023234589000000","7,626552721000053","51,956527603000040"
245867,5,5,15,0,2019,8,7,5,3,5,3,0,1,1,0,0,0,0,0,"407450,621714680460000","5758328,331684520500000","7,652809692000062","51,967929410000067"
