OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
100549;;5;5;15;0;2019;2;14;5;3;1;3;0;1;1;0;0;0;0;403501,6614;5760698,882;7,59467849;51,98856508;1
100647;;5;5;15;0;2019;2;0;3;2;4;6;2;1;0;0;0;0;0;409383,9466;5751521,817;7,682737169;51,90706642;0
100753;;5;5;15;0;2019;2;9;2;3;5;3;0;1;1;0;0;0;0;407153,0914;5760550,965;7,647878603;51,98785791;0
100759;;5;5;15;0;2019;2;8;3;3;3;3;0;1;1;0;0;0;0;406526,868;5750599,419;7,641467126;51,89830329;0
101087;;5;5;15;0;2019;2;15;5;3;1;4;0;1;0;1;0;0;0;409070,9203;5752861,916;7,677834309;51,91906115;0
101233;;5;5;15;0;2019;2;7;4;3;5;3;0;1;1;0;0;0;0;406062,3801;5751516,49;7,634468395;51,90646832;0
101290;;5;5;15;0;2019;3;17;6;3;6;4;0;1;0;1;0;0;0;406608,4723;5757158,658;7,640872766;51,95727496;0
101393;;5;5;15;0;2019;3;17;4;2;5;2;0;1;1;0;0;0;0;407061,588;5757345,233;7,647414494;51,95902791;1
101394;;5;5;15;0;2019;3;12;4;3;5;2;0;1;0;0;0;0;1;406008,587;5757791,835;7,631972055;51,96286516;0
101526;;5;5;15;0;2019;3;19;3;3;5;2;1;1;1;0;0;0;0;407296,2479;5757988,437;7,650654997;51,96484854;0
101528;;5;5;15;0;2019;3;16;3;3;5;3;0;1;1;0;0;0;0;406510,0191;5757238,453;7,639418697;51,95797565;0
101555;;5;5;15;0;2019;3;13;5;3;5;3;0;1;1;0;0;0;0;407058,0829;5757259,555;7,647386678;51,95825721;1
101754;;5;5;15;0;2019;3;15;3;2;5;3;0;1;1;0;0;0;0;399146,3904;5760141,203;7,53143797;51,98277893;0
101946;;5;5;15;0;2019;3;2;7;3;5;2;2;1;1;0;0;0;0;406533,3258;5756210,837;7,640037293;51,94874285;1
101949;;5;5;15;0;2019;3;15;7;2;1;5;0;1;1;0;0;0;0;406842,1072;5757007,066;7,644312929;51,95595157;1
102327;;5;5;15;0;2019;3;18;4;3;5;2;1;1;1;0;0;0;0;405930,5559;5756158,803;7,631283782;51,94817353;1
102741;;5;5;15;0;2019;3;5;3;3;5;3;2;1;1;0;0;0;0;407301,7021;5761121,239;7,649887985;51,99300862;0
102840;;5;5;15;0;2019;3;17;5;3;4;2;0;1;1;0;0;0;0;403888,3582;5753109,8;7,602430983;51,92041882;0
102843;;5;5;15;0;2019;3;12;5;3;5;2;0;1;1;0;0;0;0;406940,1922;5756956,258;7,645753649;51,9555113;0
102940;;5;5;15;0;2019;3;7;2;2;5;3;0;1;1;0;0;0;0;404211,458;5756332,52;7,606230315;51,94944158;1
102942;;5;5;15;0;2019;3;7;2;2;3;2;0;1;1;0;0;0;0;401513,0027;5761614,807;7,565463923;51,99644849;1
103015;;5;5;15;0;2019;3;22;5;3;5;3;2;1;1;0;0;0;0;403942,4145;5754808,067;7,602742735;51,93569284;0
103372;;5;5;15;0;2019;3;9;3;3;3;2;0;1;1;0;0;0;0;407042,4872;5757868,758;7,646994903;51,96373042;0
103376;;5;5;15;0;2019;3;19;3;2;0;7;2;1;0;0;0;0;0;404834,8506;5758301,576;7,614752633;51,96724724;1
103379;;5;5;15;0;2019;3;16;3;3;5;3;0;1;1;0;0;0;0;406815,369;5756752,366;7,643993013;51,95365771;0
103450;;5;5;15;0;2019;3;13;6;3;0;7;0;1;0;0;0;0;0;405068,5463;5757456,739;7,618386829;51,95969347;0
103454;;5;5;15;0;2019;3;12;6;3;1;5;0;1;1;0;0;0;0;409338,9672;5752448,523;7,681839601;51,915389;0
103542;;5;5;15;0;2019;3;13;2;3;5;2;0;1;1;0;0;0;0;408379,805;5753916,674;7,667507241;51,92842871;0
103576;;5;5;15;0;2019;3;11;7;2;5;2;0;1;0;0;0;1;0;404684,755;5759085,98;7,612350699;51,97427203;0
103815;;5;5;15;0;2019;4;9;3;3;0;1;0;1;0;0;0;0;0;408777,3513;5753306,77;7,673448992;51,92301179;0
103816;;5;5;15;0;2019;4;9;3;3;5;2;0;1;0;0;0;0;0;405953,2762;5751932,169;7,632769415;51,91018626;0
103817;;5;5;15;0;2019;4;9;3;3;5;2;0;1;1;0;0;0;0;407234,748;5756891,444;7,650056362;51,95497794;0
103934;;5;5;15;0;2019;4;15;2;3;5;2;0;1;1;0;0;0;0;409759,6506;5751788,919;7,688127173;51,90952832;0
104154;;5;5;15;0;2019;4;10;6;3;2;6;0;1;0;0;0;0;0;407260,9468;5756888,807;7,650438213;51,9549586;0
104249;;5;5;15;0;2019;4;18;5;3;4;6;0;1;0;0;0;0;0;404069,3371;5759220,704;7,603356333;51,97537708;1
104250;;5;5;15;0;2019;4;14;5;3;5;3;0;1;1;0;0;0;0;404914,4116;5756295,418;7,61646566;51,94922871;1
104251;;5;5;15;0;2019;4;16;5;3;4;2;0;1;1;0;0;0;0;403492,1661;5760696,932;7,594540802;51,98854589;1
104252;;5;5;15;0;2019;4;3;5;2;0;1;2;1;0;0;0;0;0;406229,2904;5758888,834;7,63488376;51,97276276;0
104253;;5;5;15;0;2019;4;14;5;3;0;3;0;1;1;0;0;0;0;405507,0373;5751870,836;7,626300925;51,90955944;1
104565;;5;5;15;0;2019;4;16;1;3;5;3;0;1;1;0;0;0;0;404984,1471;5758214,557;7,616949226;51,96649062;0
104568;;5;5;15;0;2019;4;5;1;3;5;2;2;1;1;0;0;0;0;406392,7945;5756345,714;7,637956419;51,94993156;0
104638;;5;5;15;0;2019;4;18;3;2;5;3;0;1;0;0;0;0;0;404587,8593;5758645,69;7,611062874;51,97029793;0
104641;;5;5;15;0;2019;4;8;3;3;5;2;0;1;1;0;0;0;0;406603,6091;5757162,469;7,640800977;51,9573084;0
104760;;5;5;15;0;2019;4;13;7;3;5;2;0;1;1;0;0;0;0;410570,569;5760598,091;7,697620574;51,98884225;0
104811;;5;5;15;0;2019;4;12;6;3;5;2;0;1;1;0;0;0;0;406169,453;5758093,65;7,634230245;51,96560519;0
104899;;5;5;15;0;2019;4;2;5;3;0;7;2;1;0;0;0;0;0;405402,5766;5758174,988;7,623048881;51,96620632;0
104955;;5;5;15;0;2019;4;0;1;2;0;1;2;1;0;0;0;0;0;409829,2661;5761042,537;7,686710998;51,99271735;1
105052;;5;5;15;0;2019;4;6;4;3;5;2;1;1;0;0;0;0;0;405966,2503;5757187,694;7,631521431;51,95742771;0
105054;;5;5;15;0;2019;4;15;4;3;2;6;0;1;0;0;0;0;0;406257,4169;5757689,039;7,635620676;51,9619832;0
105055;;5;5;15;0;2019;4;12;4;3;5;2;0;1;0;0;0;0;1;406142,0735;5751402,264;7,635657622;51,90545503;0
105057;;5;5;15;0;2019;4;6;4;3;5;3;0;1;1;0;0;0;0;403942,1048;5758260,907;7,601773146;51,96672813;0
